,vote,before_90s,90s,2000s,movie,other,tv movie,video movie,Action,Documentary,Comedy,Drama,Thriller,Romance,Other_genre,United States,United Kingdom,France,Other_country,English,Other_language,rating_category
1,-1.5656690908616682,0.0,1.0,0.0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,top_10pct
2,-1.5656690908616682,0.0,1.0,0.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,bottom_25pct
3,1.218333738590922,0.0,0.0,1.0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,bottom_25pct
4,0.17433267754620083,0.0,1.0,0.0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,bottom_25pct
6,-1.5656690908616682,1.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,top_10pct
7,0.8703333849093484,0.0,0.0,1.0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,bottom_25pct
8,0.17433267754620083,0.0,1.0,0.0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,other
9,-0.17366767613537296,1.0,0.0,0.0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,other
10,-0.5216680298169467,0.0,0.0,1.0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,other
11,-1.5656690908616682,0.0,0.0,1.0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,other
12,-0.5216680298169467,0.0,0.0,1.0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,other
13,-1.2176687371800943,0.0,1.0,0.0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,other
15,-0.17366767613537296,0.0,1.0,0.0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,bottom_25pct
17,-0.5216680298169467,1.0,0.0,0.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,other
18,-1.2176687371800943,0.0,0.0,1.0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,bottom_25pct
20,0.8703333849093484,1.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,bottom_25pct
21,0.8703333849093484,0.0,1.0,0.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,other
23,0.5223330312277746,0.0,0.0,1.0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,other
24,-1.2176687371800943,0.0,0.0,1.0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,bottom_25pct
25,1.218333738590922,0.0,0.0,1.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,other
26,1.566334092272496,0.0,1.0,0.0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,other
27,-1.2176687371800943,0.0,0.0,1.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,bottom_25pct
28,1.566334092272496,0.0,0.0,1.0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,other
29,-1.5656690908616682,0.0,1.0,0.0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,other
30,0.17433267754620083,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,bottom_25pct
31,-0.17366767613537296,0.0,1.0,0.0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,bottom_25pct
33,-0.8696683834985205,0.0,1.0,0.0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,other
34,0.17433267754620083,1.0,0.0,0.0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,other
35,0.17433267754620083,0.0,1.0,0.0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,other
37,-0.5216680298169467,0.0,1.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,bottom_25pct
41,-0.8696683834985205,1.0,0.0,0.0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,other
42,-1.5656690908616682,0.0,0.0,1.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,other
43,-1.2176687371800943,1.0,0.0,0.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,other
45,0.17433267754620083,0.0,0.0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,other
46,-1.2176687371800943,0.0,0.0,1.0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,top_10pct
47,-0.8696683834985205,0.0,1.0,0.0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,other
48,0.17433267754620083,0.0,0.0,1.0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,1,1,top_10pct
51,0.5223330312277746,0.0,0.0,1.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,other
53,-0.17366767613537296,0.0,0.0,1.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,bottom_25pct
54,-1.5656690908616682,0.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,other
55,1.566334092272496,0.0,0.0,1.0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,bottom_25pct
56,0.5223330312277746,0.0,1.0,0.0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,other
57,0.5223330312277746,1.0,0.0,0.0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,other
58,-0.17366767613537296,0.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,bottom_25pct
59,0.17433267754620083,0.0,0.0,1.0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,bottom_25pct
61,-0.17366767613537296,1.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,bottom_25pct
62,-0.8696683834985205,0.0,0.0,1.0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,other
63,-0.17366767613537296,0.0,1.0,0.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,bottom_25pct
64,0.5223330312277746,1.0,0.0,0.0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,other
65,-1.2176687371800943,0.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,bottom_25pct
66,-1.2176687371800943,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,bottom_25pct
67,-1.5656690908616682,0.0,0.0,1.0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,other
68,0.8703333849093484,1.0,0.0,0.0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,top_10pct
70,0.17433267754620083,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,other
71,-0.17366767613537296,0.0,0.0,1.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,bottom_25pct
72,0.5223330312277746,1.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,other
73,1.566334092272496,0.0,0.0,1.0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,other
74,-0.17366767613537296,0.0,1.0,0.0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,other
75,-0.5216680298169467,0.0,0.0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,top_10pct
76,0.17433267754620083,0.0,0.0,1.0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,other
77,-1.2176687371800943,0.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,top_10pct
78,1.566334092272496,0.0,0.0,1.0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,other
80,-1.5656690908616682,0.0,0.0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,other
81,-0.8696683834985205,0.0,0.0,1.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,other
82,-1.2176687371800943,0.0,1.0,0.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,other
83,-0.8696683834985205,0.0,0.0,1.0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,other
84,-0.8696683834985205,0.0,0.0,1.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,other
85,-0.8696683834985205,0.0,0.0,1.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,other
89,-0.5216680298169467,0.0,0.0,1.0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,other
90,0.8703333849093484,1.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,other
92,-0.5216680298169467,0.0,1.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,other
94,-0.5216680298169467,0.0,0.0,1.0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,other
95,-0.5216680298169467,0.0,1.0,0.0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,other
96,-0.5216680298169467,0.0,1.0,0.0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,bottom_25pct
98,-0.8696683834985205,0.0,0.0,1.0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,top_10pct
100,-0.17366767613537296,0.0,0.0,1.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,other
101,0.8703333849093484,1.0,0.0,0.0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,other
102,0.8703333849093484,1.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,other
103,0.17433267754620083,0.0,0.0,1.0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,other
104,1.566334092272496,0.0,1.0,0.0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,top_10pct
106,-0.5216680298169467,0.0,1.0,0.0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,other
107,0.8703333849093484,0.0,0.0,1.0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,1,0,bottom_25pct
108,0.5223330312277746,0.0,1.0,0.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,other
109,0.17433267754620083,1.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,other
111,0.8703333849093484,1.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,other
112,-0.5216680298169467,1.0,0.0,0.0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,other
113,-0.5216680298169467,0.0,1.0,0.0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,bottom_25pct
114,-0.8696683834985205,0.0,1.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,bottom_25pct
115,0.17433267754620083,1.0,0.0,0.0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,other
116,-1.5656690908616682,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,other
117,0.8703333849093484,0.0,1.0,0.0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,other
118,-1.5656690908616682,0.0,1.0,0.0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,other
119,0.5223330312277746,0.0,1.0,0.0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,other
